iter	RMSE
0	13.9648245
1	13.15278769
2	12.34987063
3	11.62234799
4	10.96539955
5	10.41504625
6	9.899513158
7	9.442939052
8	9.028003116
9	8.629946267
10	8.249570301
11	7.954372374
12	7.697281011
13	7.419749861
14	7.174576271
15	6.985167474
16	6.785592671
17	6.623965979
18	6.462231918
19	6.332360373
20	6.219122346
21	6.126766737
22	6.026611815
23	5.931324612
24	5.849475326
25	5.794851799
26	5.72279972
27	5.677809026
28	5.628366141
29	5.579641204
30	5.516368026
31	5.478151025
32	5.438034626
33	5.396312055
34	5.367313899
35	5.339929424
36	5.315247673
37	5.286106768
38	5.265135475
39	5.240349057
40	5.221164912
41	5.194789244
42	5.174961945
43	5.162030257
44	5.144279205
45	5.1210206
46	5.102411254
47	5.086946773
48	5.065194297
49	5.047269797
50	5.02277077
51	5.016139915
52	4.995624467
53	4.983536998
54	4.974367684
55	4.95985699
56	4.950426864
57	4.938785796
58	4.92244263
59	4.908213186
60	4.899143733
61	4.88556031
62	4.875807715
63	4.863005417
64	4.851290049
65	4.837909144
66	4.8301327
67	4.815805871
68	4.809897243
69	4.794025969
70	4.781974273
71	4.769220513
72	4.757607007
73	4.751364349
74	4.741147859
75	4.729020563
76	4.724904984
77	4.718598516
78	4.710212263
79	4.706254061
80	4.699885078
81	4.691211005
82	4.681513406
83	4.676653886
84	4.670474865
85	4.667821477
86	4.657688847
87	4.656635245
88	4.645311364
89	4.638548405
90	4.637155238
91	4.636193711
92	4.628697185
93	4.616175542
94	4.597648502
95	4.594119288
96	4.591524589
97	4.576936322
98	4.574540668
99	4.572019414
