iter	Passed	Remaining
0	1	180
1	4	199
2	6	201
3	7	190
4	9	188
5	11	182
6	13	178
7	15	177
8	17	173
9	19	172
10	22	180
11	24	181
12	27	183
13	29	178
14	30	173
15	32	168
16	34	167
17	37	168
18	38	163
19	40	161
20	41	157
21	44	156
22	47	158
23	49	156
24	52	156
25	53	152
26	54	148
27	55	143
28	57	140
29	59	138
30	60	135
31	62	132
32	64	130
33	65	127
34	67	124
35	68	122
36	70	119
37	71	117
38	73	115
39	75	113
40	76	110
41	78	108
42	79	105
43	81	103
44	82	101
45	84	98
46	85	96
47	87	94
48	89	92
49	92	92
50	95	91
51	98	90
52	100	88
53	102	87
54	104	85
55	108	84
56	111	83
57	113	82
58	116	80
59	118	78
60	119	76
61	122	74
62	125	73
63	128	72
64	130	70
65	131	67
66	132	65
67	133	62
68	134	60
69	135	57
70	136	55
71	136	53
72	137	50
73	138	48
74	139	46
75	140	44
76	140	42
77	141	39
78	142	37
79	143	35
80	143	33
81	144	31
82	145	29
83	146	27
84	147	25
85	148	24
86	148	22
87	149	20
88	150	18
89	151	16
90	152	15
91	152	13
92	153	11
93	154	9
94	155	8
95	156	6
96	156	4
97	157	3
98	158	1
99	158	0
